0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:39 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:40 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:45 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:45 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:45 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:45 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:46 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:46 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:46 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:17:46 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:18:36 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:19:28 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:19:33 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:19:41 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:19:57 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:20:23 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:01 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:10 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:23 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
