127.0.0.1 - - [18/Apr/2022:09:18:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:18:55 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5121
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:18:55 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:20:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:20:56 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:20:56 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:29:22 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:29:22 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:29:45 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:29:45 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:30:17 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5122
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:30:17 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:30:34 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5121
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:30:34 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:37:21 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:37:21 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:38:19 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5122
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:38:19 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:41:07 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:41:07 +0900] "GET /StudyJavascript/javascript4_function/test14.js HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [18/Apr/2022:09:41:18 +0900] "GET /StudyJavascript/javascript4_function/test14.html HTTP/1.1" 200 5121
